iter	Logloss
0	0.6680027229
1	0.6434302628
2	0.6230493681
3	0.6042270726
4	0.5880155094
5	0.5728249966
6	0.5590731614
7	0.5449241149
8	0.5339540728
9	0.5240917585
10	0.5143001907
11	0.5061723518
12	0.4978862455
13	0.4900893816
14	0.4837588563
15	0.4779609572
16	0.4743824029
17	0.4684003516
18	0.4629124159
19	0.4583726255
20	0.4540377213
21	0.4502368161
22	0.4475560753
23	0.444084228
24	0.4419677195
25	0.4384418327
26	0.4355686931
27	0.4324305695
28	0.4296488143
29	0.4270773882
30	0.4246793797
31	0.4216527953
32	0.4201971343
33	0.418330087
34	0.4163518951
35	0.4147032353
36	0.4127028088
37	0.4112719614
38	0.4104731571
39	0.4087620074
40	0.4071894945
41	0.4057823659
42	0.404936376
43	0.4039277955
44	0.4028666905
45	0.4018108775
46	0.4002620482
47	0.3988598877
48	0.3974657963
49	0.3963125845
50	0.3951378022
51	0.3946541707
52	0.3940465997
53	0.3929043347
54	0.3917256589
55	0.3907438215
56	0.3898128013
57	0.3884300395
58	0.3875702348
59	0.3868163665
60	0.3858046086
61	0.3850143278
62	0.3845995128
63	0.3842671037
64	0.3837068104
65	0.3832233055
66	0.3825428058
67	0.3822631053
68	0.3811441681
69	0.3802188052
70	0.3792411733
71	0.3784035931
72	0.3777981895
73	0.3770773838
74	0.376245151
75	0.3753289163
76	0.3746143338
77	0.3741838247
78	0.3735249589
79	0.3732540873
80	0.3722672862
81	0.3710752374
82	0.3705272051
83	0.3699980248
84	0.3691963998
85	0.368702091
86	0.3682025509
87	0.3676861113
88	0.3669095433
89	0.366517733
90	0.3660957071
91	0.3657764501
92	0.3651950239
93	0.3647146591
94	0.3644257316
95	0.3637971583
96	0.3634970887
97	0.3630636491
98	0.3620492388
99	0.3617995421
100	0.3614666108
101	0.361194898
102	0.3609432033
103	0.3604914485
104	0.3597535079
105	0.3593919383
106	0.3592380431
107	0.3590546052
108	0.3586677599
109	0.3584558444
110	0.3576793025
111	0.3575289191
112	0.3570775727
113	0.357013093
114	0.35687609
115	0.3567278053
116	0.3564037831
117	0.3561696844
118	0.3558895082
119	0.3552566959
120	0.3550920143
121	0.3549455473
122	0.3546942138
123	0.3545350421
124	0.3542503036
125	0.354073968
126	0.3538582832
127	0.353383851
128	0.3530514419
129	0.3526776743
130	0.3521160157
131	0.3520041035
132	0.3518477436
133	0.3513952055
134	0.3512558994
135	0.3506549053
136	0.3504560995
137	0.3502502092
138	0.3499296432
139	0.3496839263
140	0.3495825095
141	0.3494760346
142	0.3493234812
143	0.3490837672
144	0.3489162538
145	0.3487321321
146	0.3481673158
147	0.3476846014
148	0.3471013051
149	0.346599718
